deny{ICMP, 192.168.173.101, 192.168.173.102 },{ , (function:Web),(environment:production) }
deny{TCP, 192.168.173.102, 192.168.173.103 },{ 3306, (function:Service),(environment:staging) }
deny{UDP, 192.168.173.103, 192.168.173.104 },{ , (function:Database),(application:ERP) }
allow{TCP, 192.168.173.101, 192.168.173.105 },{ 80, (function:Web),(priority:Admin) }
deny{ICMP, 192.168.173.106, 192.168.173.107 },{ , (function:Service),(type:Shipping) }
allow{UDP, 192.168.173.108, 192.168.173.109 },{ , (function:Database),(priority:User) }
deny{TCP, 192.168.173.110, 192.168.173.111 },{ 22, (function:Web),(type:Management) }
deny{TCP, 192.168.173.112, 192.168.173.113 },{ 80, (function:Service),(application:MRP) }
allow{ICMP, 192.168.173.114, 192.168.173.115 },{ , (function:Database),(environment:development) }
deny{TCP, 192.168.173.116, 192.168.173.117 },{ 3306, (function:Web),(environment:testing) }
deny{UDP, 192.168.173.118, 192.168.173.119 },{ , (function:Service),(priority:Admin) }
deny{ICMP, 192.168.173.120, 192.168.173.121 },{ , (function:Web),(type:Shipping) }
allow{TCP, 192.168.173.122, 192.168.173.123 },{ 22, (function:Database),(environment:staging) }
deny{UDP, 192.168.173.124, 192.168.173.125 },{ , (function:Service),(priority:User) }
deny{TCP, 192.168.173.126, 192.168.173.127 },{ 80, (function:Web),(application:PLM) }
deny{ICMP, 192.168.173.128, 192.168.173.129 },{ , (function:Database),(environment:production) }
deny{TCP, 192.168.173.130, 192.168.173.131 },{ 3306, (function:Service),(type:Management) }
allow{UDP, 192.168.173.132, 192.168.173.133 },{ , (function:Web),(priority:Admin) }
deny{ICMP, 192.168.173.134, 192.168.173.135 },{ , (function:Service),(application:ERP) }
allow{TCP, 192.168.173.136, 192.168.173.137 },{ 80, (function:Web),(environment:testing) }
deny{TCP, 192.168.173.138, 192.168.173.139 },{ 3306, (function:Service),(type:Shipping) }
deny{UDP, 192.168.173.140, 192.168.173.141 },{ , (function:Database),(application:CAD) }
deny{ICMP, 192.168.173.142, 192.168.173.143 },{ , (function:Web),(type:Payment) }
allow{TCP, 192.168.173.144, 192.168.173.145 },{ 22, (function:Service),(environment:production) }
deny{UDP, 192.168.173.146, 192.168.173.147 },{ , (function:Database),(priority:User) }
deny{TCP, 192.168.173.148, 192.168.173.149 },{ 80, (function:Web),(application:MRP) }
allow{ICMP, 192.168.173.150, 192.168.173.151 },{ , (function:Database),(environment:development) }
deny{TCP, 192.168.173.152, 192.168.173.153 },{ 3306, (function:Web),(type:Shipping) }
deny{UDP, 192.168.173.154, 192.168.173.155 },{ , (function:Service),(application:PLM) }
deny{ICMP, 192.168.173.156, 192.168.173.157 },{ , (function:Web),(priority:Admin) }
allow{TCP, 192.168.173.158, 192.168.173.159 },{ 22, (function:Database),(environment:staging) }
deny{UDP, 192.168.173.160, 192.168.173.161 },{ , (function:Service),(priority:User) }
deny{TCP, 192.168.173.162, 192.168.173.163 },{ 3306, (function:Web),(application:CAD) }
deny{ICMP, 192.168.173.164, 192.168.173.165 },{ , (function:Service),(type:Management) }
deny{TCP, 192.168.173.166, 192.168.173.167 },{ 80, (function:Web),(application:PLM) }
allow{ICMP, 192.168.173.168, 192.168.173.169 },{ , (function:Service),(environment:development) }
deny{UDP, 192.168.173.170, 192.168.173.171 },{ , (function:Web),(priority:Admin) }
deny{TCP, 192.168.173.172, 192.168.173.173 },{ 3306, (function:Service),(type:Shipping) }
deny{ICMP, 192.168.173.174, 192.168.173.175 },{ , (function:Web),(application:MRP) }
allow{TCP, 192.168.173.176, 192.168.173.177 },{ 22, (function:Database),(environment:staging) }
deny{UDP, 192.168.173.178, 192.168.173.179 },{ , (function:Service),(priority:User) }
deny{TCP, 192.168.173.180, 192.168.173.181 },{ 80, (function:Web),(application:CAD) }
deny{ICMP, 192.168.173.182, 192.168.173.183 },{ , (function:Database),(environment:testing) }
deny{TCP, 192.168.173.184, 192.168.173.185 },{ 3306, (function:Service),(type:Shipping) }
allow{UDP, 192.168.173.186, 192.168.173.187 },{ , (function:Web),(priority:Admin) }
deny{ICMP, 192.168.173.188, 192.168.173.189 },{ , (function:Database),(type:Payment) }
deny{TCP, 192.168.173.190, 192.168.173.191 },{ 22, (function:Service),(application:ERP) }

